block	decision	reason
D11-B001	維持	追加定義はraw visionをSSL-Vision検出情報と特定し、画像・動画と区別する。
D11-B002	維持	CaptureOnで見えた全パケットの保存、自前出力・自前公式パケット・外部出力の比較を保持する。
D11-B003	維持	対象の5項目を確認。保存物の内訳は後続44〜49行でも分離して説明され、旧形式は推定・機能制限付きである。
D11-B004	自然な日本語として採用	追跡アルゴリズム、出力内容、保存形式の破壊的変更、保守作業が今回の対象外である。
D11-B005	維持	接続先と3型の役割、実マルチキャスト、NIC、未指定項目の代用、起動時固定、Coreの非責務を保持する。
D11-B006	維持	既存診断ログの破壊的拡張ではなくsidecar JSONLを主記録とし、CaptureOnごとにフォルダを分ける。
D11-B007	維持	共通名と用途名の選択肢、フォルダ名またはファイル名での同期、metadataからの相対パスを保持する。
D11-B008	自然な日本語として採用	保存物の一覧が最低限の構成であるという導入を保持する。
D11-B009	維持	キャプチャー、metadata、診断記録、render、snapshot sidecar、alignment sidecarの6種類を識別できる。
D11-B010	維持	各相対パスの記録、補助ファイル未作成と記録0件の区別を保持する。
D11-B011	自然な日本語として採用	新規の保存経路を優先し、旧形式の完全互換を非要件とする。推定と機能制限を区別し、性能とホスト分離を維持する。
D11-B012	維持	旧key=valueは限定した補助経路であり、追加項目は任意、旧ログ救済で高負荷の代用処理を追加しない。
D11-B013	維持	表示用snapshotだけでは不足する。元データまたは復元可能な参照が必須で、読み戻し時の復元か再デコードを要求する。
D11-B014	自然な日本語として採用	remote endpointはパケット送信元の通信アドレスと通信ポートであり、受信先ではない。
D11-B015	維持	source role、source label、source metadataを別の概念として残している。
D11-B016	維持	Base64または復元参照、ボール・ロボット数と識別情報、デコード失敗・欠損・省略理由を保持する。
D11-B017	維持	2つの実ファイルを分離し、多対多参照、重複、後方互換、保存と対応付けの独立した破損診断を保持する。
D11-B018	維持	診断記録、render snapshot、tracker source snapshotを同じキャプチャーの時間軸に対応付ける。
D11-B019	未解決	原文のsession-relative offsetを保存記録内の相対位置とした意味は確定できない。現実装はRenderFrameNumberとUTCのRenderReceivedAtを持つが、この代替項目の単位・起点の定義を確認できていない。推測で時間やバイト位置へ固定しない。
D11-B020	維持	JSONLを1回読み辞書か配列を構築する。操作ごとの全件再探索を禁じ、100MB超でも必要な概要のみ参照する。
D11-B021	自然な日本語として採用	見出しの表示元識別と分類は、直後のsource識別子とroleの説明に対応する。
D11-B022	維持	UuidとSourceNameは保存除外ではなく分類用。自前パケットと詳細ログ・render snapshotの重複保存も許容する。
D11-B023	自然な日本語として採用	空、不一致、衝突でも破棄しない。unknownとambiguousを残し、分類と保存可否を区別する。
D11-B024	維持	APIの扱いとUUID衝突の扱いを別の確認事項として保つ。元パケットと識別情報を保存できれば保存を止めない。
D11-B025	原文条件を維持	source keyの4要素、集約、時刻差・record index・Ordinal順を保持する。同じtracked timestampという原文条件と実装の差は既存記録にもあるため、実装一致を保証しない。
D11-B026	自然な日本語として採用	時刻比較の見出しであり、比較する具体的なプロパティは本文に残る。
D11-B027	維持	フレーム番号と送信頻度が一致しない可能性、比較する2つの実時刻プロパティを保持する。
D11-B028	維持	初期実装で近傍時刻かlatest-beforeのどちらかを固定する選択肢と、規則・許容時間幅・source identityの記録を保持する。
D11-B029	維持	外部と自前の時刻系を同一視せず、保存済みalignmentとReceivedAt・記録開始からの時間を優先する。
D11-B030	維持	alignment欠落時は精度を保証しない。非重複時はunsupportedとし、旧ログ救済を主経路にしない。
D11-B031	自然な日本語として採用	開始・停止と記録の切り替えという見出しは、直後のCaptureOn契約に対応する。
D11-B032	維持	受信処理は既定で開始せず、明示設定で有効にしたときだけバインド・受信を開始する。
D11-B033	維持	受信先未指定なら起動時の自前送信先、別送信先は明示指定、Enabled=falseではCaptureOnでも外部を保存しない。
D11-B034	維持	CaptureOnは受信起動ではなく書き込み可否を制御する。Off中の受信だけでは補助ファイルを作らない。
D11-B035	自然な日本語として採用	Offから再開すると別フォルダへ切り替わり、前のsnapshot sidecarへ追記しない。
D11-B036	自然な日本語として採用	保存先を最初の対象パケットまで遅延作成し、同じsession folderに関連付ける条件を保つ。
D11-B037	維持	外部トラッカー不在で既存キャプチャー・診断・描画の内容を変えない。未作成と0件をmetadataで区別する。
D11-B038	自然な日本語として採用	新規の読み取り・再生経路と旧形式の制限付き表示という区分を保持する。
D11-B039	維持	3つの読取元とmetadata相対パス、snapshotとsampleの補助ファイル、新規と旧形式の正常性の区別を保持する。
D11-B040	自然な日本語として採用	CLIの2出力キー、保存時比較か明示した推定比較という選択を保ち、UI追加後も検証経路を削除しない。
D11-B041	維持	replay timeline tickごとの更新、3種のsource情報による選択、旧形式だけownのtimestampを基準にする条件を保持する。
D11-B042	維持	新規はsample/alignmentを優先し、選択tickとField sourceから保存順を引く。欠落・破損時の表示と全件再読込禁止を保つ。
D11-B043	維持	4保存物のパス・更新時刻・長さで索引をキャッシュし、scrubやplaybackで全件再読込しない。
D11-B044	維持	100MBは通常到達する量で上限ではない。操作時のサイズ比例I/O・JSON/protobuf解析を禁じ、メモリ上限を持つ。
D11-B045	維持	診断件数でなく最速source cadenceを含む時系列を使う。ReceivedAtで順序を決め、外部TrackedFrame.timestampを混用しない。
D11-B046	維持	毎秒30回・約33.3ms、開始wall-clockとReceivedAtによる式、目標以前の最新時点、表示のみの間引きを保持する。
D11-B047	維持	通常再生で省略しても記録は削らず、scrub・比較・CLIから任意の保存済み時点を選べる。
D11-B048	維持	Play/Fast Forward/Stopと小さい速度選択を分離する。4x/16x/64x、等倍速の表示名、利用者の語句を保持する。
D11-B049	維持	TRACKER-062時点のPlayで等倍へ戻す動作を履歴として残す。停止・モード/倍率変更後の古い更新を除外し比較経路を維持する。
D11-B050	維持	TRACKER-063ではPlayでも選択中倍率を保持する。早送りの既定倍率、停止と旧更新除外、モードと倍率の双方の照合を保つ。
D11-B051	維持	任意の倍率入力補助と固定選択肢を区別する。1x禁止、2〜1024の目安、最寄りの範囲制限、既定16xを保持する。
D11-B052	維持	早送りは時点を間引かず、式と1msの下限例、0以下の差分の保護、30msへの再拡大禁止、1.6秒の差で64xより速い条件を保つ。
D11-B053	維持	0/100msと20ms刻みの例を照合。raw visionとrenderは直前を保持し、先頭で過去がない場合だけ直後を代用する。
D11-B054	維持	source sampleは個々の入力でありキャプチャー全体ではない。高速入力ごとの対応と低速描画の参照共有を保存する。
D11-B055	維持	同じファイル名で第2版を推奨し、互換性を非要件とする。15プロパティと4種類の索引、1回の読取を保持する。
D11-B056	自然な日本語として採用	最低限必要な表示項目の導入を保つ。再生・診断画面の実出力対象は前後の文章で確認できる。
D11-B057	維持	時刻・source識別・規則・alignment状態と理由・番号/時刻・時刻差・対象数・省略/エラー数・元データ復元の9項目を保つ。
D11-B058	維持	session folder内のsnapshot/alignmentを再生入力にし、raw/trackedのrenderだけに依存させずsource別時系列も扱う。
D11-B059	維持	metadataなし、パスなし、補助ファイルなし、IsCreated=false、記録0、対応記録0、読取エラーを分け、既存表示を壊さない。
D11-B060	自然な日本語として採用	診断画面でField sourceを切り替える節の見出しを維持する。
